2064	2096	2079	213	214	214
484	498	497	119	121	122
102	106	110	29	30	32
2055	2086	2072	213	214	214
487	501	501	121	121	123
111	114	121	33	33	34
2023	2048	2026	212	212	211
486	500	499	121	121	123
111	115	122	33	33	34
2045	2078	2061	212	214	213
486	501	499	120	121	122
105	108	113	30	30	32
483	497	496	119	120	121
2046	2075	2054	212	213	212
104	108	113	30	30	32
505	189	290	134	47	94
202	168	238	57	47	72
1470	1580	1727	188	195	207
328	206	169	93	59	46
1058	694	604	179	142	128
396	524	709	102	124	162
259	313	193	72	92	46
571	603	852	132	130	175
663	1126	1063	133	182	172
1667	1352	1150	204	184	165
277	136	145	79	37	43
846	218	272	181	53	83
489	502	500	119	121	121
492	507	505	120	122	123
962	718	982	170	141	180
436	440	744	114	105	175
1737	1449	1510	206	187	194
1106	442	195	196	109	35
295	397	760	85	98	182
861	281	285	177	73	82
250	180	273	72	49	85
800	921	406	155	172	60
1195	696	253	193	147	28
1442	1755	1585	185	206	190
918	186	152	184	50	46
245	146	178	69	39	54
118	120	127	33	33	35
2053	2084	2064	212	214	212
392	228	459	106	58	133
158	223	354	48	61	111
1223	1624	1572	171	202	194
176	250	531	56	64	156
311	570	287	80	144	55
745	152	141	168	41	45
1382	1003	346	199	174	35
923	378	579	178	88	148
323	666	901	84	145	178
1582	1527	1641	195	193	200
1088	604	672	185	128	145
847	194	195	178	50	60
2018	2049	2026	211	212	212
122	126	132	35	36	38
405	774	1262	102	151	212
599	962	1296	129	167	204
1753	1425	1381	206	187	183
2035	2066	2045	212	213	211
1338	1377	1377	184	187	186
848	860	867	157	159	158
485	499	497	120	122	121
293	303	310	83	85	86
174	180	188	51	52	54
1335	1628	1717	180	200	204
1172	603	567	189	130	126
1188	278	221	204	72	61
505	517	513	122	122	123
510	522	522	123	124	124
522	990	1246	118	172	197
157	231	299	46	66	91
1335	1437	1039	183	193	151
124	127	134	36	37	39
229	236	242	67	68	69
336	349	355	93	95	97
690	710	710	144	146	146
1151	1181	1180	176	178	178
1746	1784	1779	201	203	203
1001	1021	1018	168	169	168
1332	438	212	212	105	41
1640	936	325	217	166	34
154	155	160	43	43	45
2075	2107	2089	213	215	213
156	221	234	45	64	67
694	937	1301	140	162	205
1085	572	407	186	127	91
1492	1003	832	202	164	143
971	703	542	174	144	114
516	339	251	132	92	63
1098	821	722	180	154	140
592	315	221	145	85	54
1072	633	509	183	135	112
429	443	442	110	112	112
903	860	269	169	167	18
1416	1014	320	202	176	24
1966	1988	1954	209	210	209
137	141	148	39	40	42
480	969	1041	112	173	176
346	740	777	88	155	155
1104	733	653	182	145	134
1492	864	733	205	154	137
1030	769	655	176	149	131
1017	760	645	175	149	130
1068	751	656	179	147	133
417	277	213	113	77	55
1110	696	547	185	142	115
218	221	220	62	62	62
792	643	305	158	143	47
847	879	319	163	167	32
519	532	525	123	124	123
528	541	541	125	127	127
205	196	182	57	56	52
501	855	632	118	166	125
314	667	505	78	152	110
164	214	192	47	63	54
471	887	747	109	170	142
536	772	408	122	162	76
319	593	298	82	147	57
462	838	450	109	169	84
895	581	321	170	134	60
636	693	325	139	150	51
730	932	346	146	175	40
245	197	178	67	55	49
170	175	181	48	49	50
2085	2120	2104	214	215	215
526	539	538	125	127	127
149	153	160	44	44	46
2092	2117	2098	213	215	214
534	546	548	127	128	128
159	164	172	47	48	49
2050	2074	2052	213	213	211
538	549	549	127	128	127
172	177	183	50	51	53
1999	2020	1990	210	211	209
528	541	536	125	126	125
175	181	184	50	51	52
533	548	546	125	126	126
1975	1993	1962	210	210	209
