1706	1707	1699	200	200	200
431	440	442	109	111	111
246	233	233	67	66	66
274	270	292	77	75	81
516	575	592	122	132	133
473	506	499	117	122	122
493	496	470	121	121	116
499	492	489	122	120	121
53	54	62	15	15	17
442	451	455	113	114	116
1687	1696	1681	200	199	200
1555	1618	1664	193	196	200
1262	1244	1243	182	180	181
1404	1568	1605	185	196	198
1599	1629	1686	196	196	201
1663	1675	1705	198	199	200
1809	1743	1741	203	201	202
1398	1468	1482	187	192	192
1700	1704	1693	200	201	199
433	441	443	109	110	110
35	35	40	10	9	10
124	146	159	35	40	44
500	592	723	119	132	156
543	72	65	141	18	22
1217	1446	1638	175	190	206
1120	1356	1409	170	188	191
1324	1541	1650	180	195	203
1447	1425	1408	189	188	187
1431	1431	1361	188	189	184
1582	1805	1822	191	206	206
1641	1823	1854	194	206	207
1634	1854	1813	193	208	204
1847	1751	1458	207	203	179
1788	1830	1621	202	206	190
1342	1182	997	188	178	157
1617	1401	1190	200	187	166
1936	1690	1512	211	199	185
549	419	302	132	108	69
1468	1252	1095	196	181	164
41	41	47	11	11	12
251	247	234	69	68	66
120	136	137	36	37	38
220	459	716	62	115	170
211	398	583	60	104	151
326	538	813	86	126	176
265	465	582	73	120	144
400	708	824	99	150	164
461	811	1079	112	157	191
632	884	1156	134	160	194
647	1086	1398	132	176	206
924	1355	1592	154	189	208
926	1489	1601	152	197	203
1646	1518	1118	199	195	154
1488	1400	904	194	191	133
1196	956	625	185	167	114
508	378	239	128	101	53
858	495	318	169	118	68
452	227	155	120	63	39
1555	1174	1107	201	174	168
167	129	120	45	35	32
231	246	255	66	68	70
130	159	155	38	44	44
301	448	644	82	112	158
276	465	622	75	119	152
373	664	1071	96	140	200
410	625	1063	105	134	200
353	769	1143	92	154	201
325	695	875	84	149	171
325	696	781	83	151	158
433	884	865	105	169	160
542	625	333	127	143	62
704	836	464	143	164	87
726	1159	823	139	187	140
339	615	488	85	145	110
462	851	662	108	168	131
656	1237	1139	130	190	175
534	396	295	132	103	71
352	209	147	97	58	37
1528	1160	1140	199	173	172
198	169	143	54	47	39
231	247	245	66	68	68
135	161	148	39	45	41
481	966	1244	112	171	198
286	526	577	76	131	136
1972	1965	1937	209	209	208
1587	1560	772	200	201	104
427	881	546	104	173	106
340	813	799	87	164	155
630	538	231	142	133	32
728	1223	832	138	191	137
1027	1335	816	162	194	128
1217	462	403	197	110	99
935	366	267	181	94	66
1413	447	182	219	108	33
858	196	185	179	52	56
382	385	383	101	101	102
1162	712	616	188	142	128
1060	563	513	182	125	118
1092	725	744	180	143	148
157	143	135	42	40	38
170	180	199	50	50	56
175	190	181	51	53	51
320	634	765	81	143	160
781	793	792	153	153	153
1469	1482	1455	190	191	189
1710	1203	327	215	187	13
1319	1323	480	191	194	49
1614	1353	564	204	193	71
1671	1140	477	211	179	64
2011	2013	1968	211	211	208
2006	2006	1960	211	211	208
1116	555	352	191	126	75
1442	834	456	206	155	82
1192	438	178	203	107	30
800	211	231	175	54	70
335	333	333	91	90	91
184	178	178	51	50	51
1259	599	580	195	128	129
1124	966	1081	176	163	177
156	136	135	42	38	37
161	213	247	46	60	72
146	175	177	42	49	50
329	657	675	84	147	144
603	617	619	135	136	136
1139	1155	1139	175	176	175
1544	1246	413	204	189	36
1174	1188	375	186	188	26
608	596	262	140	139	38
1511	1151	480	203	182	63
2001	2002	1957	210	211	208
2005	2005	1966	210	211	209
